user_id,event_type,event_time,email_type
1,welcome_email_sent,2025-11-24 00:25:00,welcome
1,email_sent,2025-11-29 00:00:00,followup_1
1,email_sent,2025-12-01 00:00:00,followup_2
2,welcome_email_sent,2025-02-27 00:02:00,welcome
2,email_sent,2025-03-04 00:00:00,followup_1
2,email_opened,2025-03-04 07:00:00,followup_1
2,email_sent,2025-03-05 00:00:00,followup_2
2,email_sent,2025-03-08 00:00:00,promo
3,email_sent,2025-01-18 00:00:00,followup_1
3,email_sent,2025-01-21 00:00:00,followup_2
3,email_sent,2025-01-22 00:00:00,promo
4,welcome_email_sent,2025-05-21 00:26:00,welcome
4,email_sent,2025-05-24 00:00:00,followup_1
4,email_sent,2025-05-27 00:00:00,followup_2
4,email_opened,2025-05-29 19:00:00,followup_2
4,email_sent,2025-05-31 00:00:00,promo
5,welcome_email_sent,2025-05-06 00:14:00,welcome
5,email_sent,2025-05-09 00:00:00,followup_1
5,email_sent,2025-05-12 00:00:00,followup_2
5,email_sent,2025-05-17 00:00:00,promo
6,welcome_email_sent,2025-04-25 00:25:00,welcome
6,email_opened,2025-04-25 17:25:00,welcome
6,email_sent,2025-04-29 00:00:00,followup_1
6,email_sent,2025-05-05 00:00:00,promo
7,welcome_email_sent,2025-03-13 00:05:00,welcome
7,email_sent,2025-03-18 00:00:00,followup_1
7,email_sent,2025-03-21 00:00:00,followup_2
7,email_sent,2025-03-24 00:00:00,promo
8,welcome_email_sent,2025-02-22 00:30:00,welcome
8,email_sent,2025-02-26 00:00:00,followup_1
8,email_opened,2025-02-28 00:00:00,followup_1
8,email_sent,2025-02-28 00:00:00,followup_2
8,email_sent,2025-03-04 00:00:00,promo
9,welcome_email_sent,2025-12-13 00:16:00,welcome
9,email_opened,2025-12-13 10:16:00,welcome
9,email_clicked,2025-12-13 10:35:00,welcome
9,email_sent,2025-12-17 00:00:00,followup_1
9,email_sent,2025-12-21 00:00:00,followup_2
9,email_sent,2025-12-23 00:00:00,promo
9,email_opened,2025-12-23 06:00:00,promo
10,welcome_email_sent,2025-10-07 00:19:00,welcome
10,email_opened,2025-10-08 05:19:00,welcome
10,email_sent,2025-10-11 00:00:00,followup_1
10,email_sent,2025-10-13 00:00:00,followup_2
10,email_sent,2025-10-17 00:00:00,promo
11,welcome_email_sent,2025-02-14 00:05:00,welcome
11,email_sent,2025-02-19 00:00:00,followup_1
11,email_sent,2025-02-20 00:00:00,followup_2
11,email_sent,2025-02-23 00:00:00,promo
12,welcome_email_sent,2025-10-30 00:24:00,welcome
12,email_opened,2025-10-30 06:24:00,welcome
12,email_sent,2025-11-04 00:00:00,followup_1
12,email_sent,2025-11-06 00:00:00,followup_2
12,email_sent,2025-11-10 00:00:00,promo
12,email_opened,2025-11-12 22:00:00,promo
13,welcome_email_sent,2025-08-05 00:02:00,welcome
13,email_sent,2025-08-09 00:00:00,followup_1
13,email_sent,2025-08-13 00:00:00,followup_2
13,email_sent,2025-08-14 00:00:00,promo
14,welcome_email_sent,2025-01-17 00:27:00,welcome
14,email_sent,2025-01-21 00:00:00,followup_1
14,email_opened,2025-01-23 21:00:00,followup_1
14,email_sent,2025-01-24 00:00:00,followup_2
14,email_sent,2025-01-26 00:00:00,promo
15,welcome_email_sent,2025-01-16 00:01:00,welcome
15,email_sent,2025-01-20 00:00:00,followup_1
15,email_opened,2025-01-20 13:00:00,followup_1
15,email_sent,2025-01-23 00:00:00,followup_2
15,email_opened,2025-01-24 09:00:00,followup_2
15,email_sent,2025-01-25 00:00:00,promo
16,welcome_email_sent,2025-02-17 00:06:00,welcome
16,email_opened,2025-02-17 21:06:00,welcome
16,email_sent,2025-02-21 00:00:00,followup_1
16,email_sent,2025-02-24 00:00:00,followup_2
16,email_sent,2025-02-26 00:00:00,promo
16,email_opened,2025-02-27 07:00:00,promo
17,welcome_email_sent,2025-04-22 00:19:00,welcome
17,email_opened,2025-04-23 09:19:00,welcome
17,email_sent,2025-04-25 00:00:00,followup_1
17,email_sent,2025-04-30 00:00:00,followup_2
17,email_sent,2025-05-02 00:00:00,promo
18,welcome_email_sent,2025-04-30 00:01:00,welcome
18,email_opened,2025-05-01 14:01:00,welcome
18,email_sent,2025-05-05 00:00:00,followup_1
18,email_sent,2025-05-08 00:00:00,followup_2
18,email_sent,2025-05-11 00:00:00,promo
19,welcome_email_sent,2025-09-16 00:05:00,welcome
19,email_opened,2025-09-16 11:05:00,welcome
19,email_sent,2025-09-20 00:00:00,followup_1
19,email_sent,2025-09-22 00:00:00,followup_2
19,email_opened,2025-09-24 12:00:00,followup_2
20,welcome_email_sent,2025-11-05 00:21:00,welcome
20,email_sent,2025-11-09 00:00:00,followup_1
20,email_opened,2025-11-10 09:00:00,followup_1
20,email_sent,2025-11-12 00:00:00,followup_2
20,email_sent,2025-11-14 00:00:00,promo
21,welcome_email_sent,2025-01-14 00:02:00,welcome
21,email_opened,2025-01-15 11:02:00,welcome
21,email_sent,2025-01-18 00:00:00,followup_1
21,email_sent,2025-01-22 00:00:00,followup_2
21,email_sent,2025-01-24 00:00:00,promo
22,welcome_email_sent,2025-10-15 00:26:00,welcome
22,email_opened,2025-10-16 20:26:00,welcome
22,email_sent,2025-10-20 00:00:00,followup_1
22,email_sent,2025-10-22 00:00:00,followup_2
22,email_sent,2025-10-26 00:00:00,promo
23,welcome_email_sent,2025-04-12 00:05:00,welcome
23,email_sent,2025-04-16 00:00:00,followup_1
23,email_opened,2025-04-16 02:00:00,followup_1
23,email_sent,2025-04-19 00:00:00,followup_2
23,email_sent,2025-04-22 00:00:00,promo
24,welcome_email_sent,2025-11-29 00:26:00,welcome
24,email_sent,2025-12-04 00:00:00,followup_1
24,email_opened,2025-12-06 09:00:00,followup_1
24,email_sent,2025-12-06 00:00:00,followup_2
24,email_sent,2025-12-10 00:00:00,promo
25,welcome_email_sent,2025-12-26 00:25:00,welcome
26,welcome_email_sent,2025-10-07 00:08:00,welcome
26,email_sent,2025-10-12 00:00:00,followup_1
26,email_sent,2025-10-13 00:00:00,followup_2
26,email_sent,2025-10-18 00:00:00,promo
27,email_sent,2025-08-10 00:00:00,followup_2
27,email_sent,2025-08-12 00:00:00,promo
27,email_opened,2025-08-14 03:00:00,promo
28,welcome_email_sent,2025-04-23 00:09:00,welcome
28,email_opened,2025-04-24 08:09:00,welcome
28,email_sent,2025-04-28 00:00:00,followup_1
28,email_sent,2025-05-01 00:00:00,followup_2
28,email_opened,2025-05-01 17:00:00,followup_2
28,email_sent,2025-05-02 00:00:00,promo
29,welcome_email_sent,2025-08-18 00:08:00,welcome
29,email_sent,2025-08-22 00:00:00,followup_1
29,email_opened,2025-08-22 03:00:00,followup_1
29,email_sent,2025-08-29 00:00:00,promo
30,welcome_email_sent,2025-10-29 00:29:00,welcome
30,email_opened,2025-10-30 04:29:00,welcome
30,email_sent,2025-11-05 00:00:00,followup_2
31,welcome_email_sent,2025-05-23 00:22:00,welcome
31,email_opened,2025-05-24 08:22:00,welcome
31,email_sent,2025-05-28 00:00:00,followup_1
31,email_opened,2025-05-29 12:00:00,followup_1
31,email_sent,2025-06-02 00:00:00,promo
31,email_opened,2025-06-03 01:00:00,promo
32,welcome_email_sent,2025-01-04 00:29:00,welcome
32,email_sent,2025-01-09 00:00:00,followup_1
32,email_opened,2025-01-11 07:00:00,followup_1
33,welcome_email_sent,2025-03-23 00:11:00,welcome
33,email_opened,2025-03-24 17:11:00,welcome
33,email_sent,2025-03-27 00:00:00,followup_1
33,email_sent,2025-03-31 00:00:00,followup_2
33,email_sent,2025-04-01 00:00:00,promo
33,email_opened,2025-04-02 07:00:00,promo
34,welcome_email_sent,2025-12-24 00:27:00,welcome
34,email_opened,2025-12-24 22:27:00,welcome
34,email_sent,2025-12-27 00:00:00,followup_1
34,email_sent,2025-12-30 00:00:00,followup_2
35,welcome_email_sent,2025-08-05 00:30:00,welcome
35,email_opened,2025-08-05 21:30:00,welcome
35,email_sent,2025-08-08 00:00:00,followup_1
35,email_opened,2025-08-10 09:00:00,followup_1
35,email_sent,2025-08-13 00:00:00,followup_2
35,email_sent,2025-08-16 00:00:00,promo
35,email_opened,2025-08-16 07:00:00,promo
36,welcome_email_sent,2025-06-24 00:13:00,welcome
36,email_opened,2025-06-25 16:13:00,welcome
36,email_sent,2025-06-29 00:00:00,followup_1
36,email_sent,2025-07-01 00:00:00,followup_2
36,email_sent,2025-07-05 00:00:00,promo
37,welcome_email_sent,2025-05-23 00:22:00,welcome
37,email_sent,2025-05-27 00:00:00,followup_1
37,email_sent,2025-05-29 00:00:00,followup_2
37,email_sent,2025-06-01 00:00:00,promo
38,welcome_email_sent,2025-03-21 00:17:00,welcome
38,email_opened,2025-03-22 03:17:00,welcome
38,email_sent,2025-03-24 00:00:00,followup_1
38,email_opened,2025-03-24 06:00:00,followup_1
38,email_sent,2025-03-28 00:00:00,followup_2
38,email_sent,2025-04-01 00:00:00,promo
39,welcome_email_sent,2025-04-21 00:29:00,welcome
39,email_sent,2025-04-25 00:00:00,followup_1
39,email_sent,2025-04-28 00:00:00,followup_2
39,email_sent,2025-05-02 00:00:00,promo
40,welcome_email_sent,2025-06-22 00:17:00,welcome
40,email_sent,2025-06-25 00:00:00,followup_1
40,email_sent,2025-06-28 00:00:00,followup_2
40,email_sent,2025-07-01 00:00:00,promo
41,welcome_email_sent,2025-02-22 00:23:00,welcome
41,email_sent,2025-02-27 00:00:00,followup_1
41,email_sent,2025-03-01 00:00:00,followup_2
41,email_sent,2025-03-03 00:00:00,promo
41,email_opened,2025-03-03 06:00:00,promo
42,welcome_email_sent,2025-02-17 00:30:00,welcome
42,email_opened,2025-02-17 15:30:00,welcome
42,email_sent,2025-02-20 00:00:00,followup_1
42,email_opened,2025-02-21 19:00:00,followup_1
42,email_sent,2025-02-24 00:00:00,followup_2
42,email_opened,2025-02-25 00:00:00,followup_2
42,email_sent,2025-02-26 00:00:00,promo
43,welcome_email_sent,2025-07-14 00:01:00,welcome
43,email_sent,2025-07-18 00:00:00,followup_1
43,email_opened,2025-07-19 23:00:00,followup_1
43,email_sent,2025-07-20 00:00:00,followup_2
43,email_opened,2025-07-21 13:00:00,followup_2
43,email_sent,2025-07-24 00:00:00,promo
44,welcome_email_sent,2025-02-19 00:18:00,welcome
44,email_opened,2025-02-19 13:18:00,welcome
44,email_clicked,2025-02-19 13:45:00,welcome
44,email_sent,2025-02-22 00:00:00,followup_1
44,email_opened,2025-02-22 18:00:00,followup_1
44,email_sent,2025-02-25 00:00:00,followup_2
44,email_sent,2025-03-01 00:00:00,promo
45,welcome_email_sent,2025-07-03 00:22:00,welcome
45,email_opened,2025-07-04 10:22:00,welcome
45,email_sent,2025-07-11 00:00:00,followup_2
45,email_opened,2025-07-11 19:00:00,followup_2
45,email_sent,2025-07-12 00:00:00,promo
46,welcome_email_sent,2025-06-26 00:13:00,welcome
46,email_sent,2025-06-30 00:00:00,followup_1
46,email_sent,2025-07-02 00:00:00,followup_2
46,email_sent,2025-07-07 00:00:00,promo
47,welcome_email_sent,2025-11-06 00:08:00,welcome
47,email_opened,2025-11-06 18:08:00,welcome
47,email_sent,2025-11-11 00:00:00,followup_1
47,email_sent,2025-11-12 00:00:00,followup_2
47,email_sent,2025-11-17 00:00:00,promo
47,email_opened,2025-11-19 18:00:00,promo
48,welcome_email_sent,2025-05-16 00:29:00,welcome
48,email_sent,2025-05-20 00:00:00,followup_1
48,email_sent,2025-05-24 00:00:00,followup_2
48,email_sent,2025-05-27 00:00:00,promo
49,welcome_email_sent,2025-01-23 00:19:00,welcome
49,email_opened,2025-01-24 14:19:00,welcome
49,email_sent,2025-01-26 00:00:00,followup_1
